73352, 77207, 75828, 85759, 69290, 79137, 75441, 87662, 87355, 75285, 83481, 72619, 84611, 70520, 77101, 77110, 75714, 72551, 81582, 75222, 72112, 86766, 81601, 81351, 66601, 72426, 82504, 72611, 93824, 96320, 
196235, 161361, 177958, 154030, 173072, 157201, 168290, 177361, 176763, 176026, 157097, 160609, 152480, 155053, 168508, 187899, 159625, 176872, 161378, 164779, 163019, 163688, 169319, 150253, 168923, 181061, 174499, 158558, 166831, 159702, 
268570, 271865, 255470, 269796, 293506, 290625, 255307, 252869, 273661, 303012, 318192, 268194, 269682, 280926, 250307, 297073, 249149, 260507, 252060, 254278, 309511, 259418, 294085, 269647, 270925, 275911, 269470, 248742, 291491, 250017, 
355004, 370238, 370684, 365345, 450498, 490109, 329089, 399302, 339317, 447386, 371712, 343194, 355237, 347612, 361497, 355656, 362899, 396939, 384240, 377213, 332750, 366912, 406138, 387363, 375547, 348746, 385990, 376236, 353254, 378055, 
514600, 465594, 458106, 493660, 444387, 447893, 467420, 439251, 447073, 494747, 441750, 444259, 545839, 490536, 472319, 537494, 440947, 507507, 548814, 452138, 461148, 478860, 451845, 468608, 445811, 436640, 475289, 497471, 453846, 474469, 
644012, 538442, 623279, 571988, 554604, 572996, 546719, 567789, 548130, 578522, 650137, 571608, 601436, 530843, 571701, 685943, 550634, 598782, 535560, 597741, 550886, 726373, 545589, 587063, 590919, 548706, 545701, 527077, 536638, 543693, 
698075, 758530, 623769, 705710, 655194, 782261, 666544, 692656, 627386, 779185, 675852, 745417, 640662, 647233, 674914, 647242, 642716, 697326, 612362, 631299, 621340, 751799, 694117, 661180, 623160, 666856, 657782, 630067, 658390, 654819, 
784265, 783602, 773336, 759610, 878001, 872867, 751121, 793934, 803307, 846662, 799942, 861857, 751119, 855783, 880437, 828548, 820645, 780506, 931700, 803423, 935296, 789845, 762486, 742484, 866133, 801555, 742204, 804373, 737143, 789807, 
963516, 989168, 971984, 861782, 867810, 997641, 869120, 977083, 897469, 903349, 849675, 883242, 962444, 955335, 867197, 949842, 950552, 939108, 883421, 1071462, 894133, 923523, 1038579, 1001959, 934288, 826684, 895760, 910640, 917421, 900089, 
1002727, 1177680, 1078101, 1060957, 1000996, 1043188, 1070591, 1086700, 977752, 979270, 1102785, 969353, 1015616, 1117637, 1047940, 1061830, 976516, 1071951, 1016224, 964586, 1093091, 987752, 959164, 1039150, 1097812, 977652, 989540, 962524, 979600, 1001334, 
