77620, 70159, 67177, 71975, 71027, 72959, 66202, 68207, 66384, 72707, 71261, 68172, 73499, 70121, 70498, 75314, 69534, 73098, 73206, 72651, 75460, 71363, 72169, 71316, 72339, 69644, 72213, 68445, 75493, 75691, 
174166, 149400, 159929, 169228, 162958, 151514, 145918, 153576, 162758, 173170, 156264, 156768, 162645, 152449, 160338, 151382, 158407, 156294, 159131, 163734, 162834, 157085, 152168, 170036, 153688, 149113, 163057, 158700, 151833, 151335, 
257769, 241202, 234388, 255600, 226696, 238976, 245698, 245729, 240202, 260268, 235264, 243839, 242922, 240761, 251419, 243328, 250161, 245916, 270965, 247682, 235906, 252453, 239144, 248314, 258867, 246695, 248871, 236227, 244174, 240353, 
349446, 352298, 350367, 330996, 350306, 399860, 323225, 326299, 331846, 330142, 343020, 351582, 342091, 327688, 317232, 350018, 342993, 328645, 360861, 339829, 338399, 351086, 362215, 342171, 350278, 335236, 360024, 334691, 321496, 348876, 
413897, 420307, 465318, 447837, 441008, 445500, 416913, 429736, 414908, 462331, 433138, 443694, 417735, 462783, 448010, 435322, 434533, 425839, 424280, 444985, 443285, 416430, 429009, 456350, 418910, 417961, 433046, 426526, 460589, 476405, 
546313, 564394, 500264, 534333, 496642, 542241, 585969, 524653, 519637, 509494, 520423, 547791, 507402, 525406, 569359, 518267, 513877, 513181, 523001, 502121, 526464, 558208, 532186, 528432, 573307, 559201, 554711, 523561, 525576, 525394, 
697140, 617287, 610499, 670301, 628239, 632366, 618399, 607662, 616531, 621614, 601986, 628043, 636856, 622199, 607276, 623117, 644523, 621295, 621894, 604684, 653732, 662163, 636863, 633519, 634922, 651592, 660443, 625923, 627729, 591724, 
729598, 758931, 721446, 715613, 734957, 710962, 715049, 751286, 702317, 717929, 695264, 720268, 792327, 716351, 733171, 732920, 712617, 731868, 719138, 712229, 723676, 730693, 734156, 709642, 781434, 797068, 727011, 736019, 729586, 740753, 
816273, 850294, 826971, 805645, 804681, 783581, 857785, 817562, 864654, 871843, 897076, 807995, 825586, 851498, 817700, 850213, 873558, 833338, 813657, 897112, 879629, 833896, 873999, 865917, 814853, 870865, 821965, 794886, 815640, 847351, 
946907, 896870, 964898, 900739, 907548, 945308, 942929, 940292, 920931, 947774, 949566, 911505, 919642, 901689, 942871, 986079, 919563, 949270, 961495, 969402, 958118, 949032, 920756, 917335, 940088, 964521, 940743, 894470, 951015, 946637, 
